starttime	seconds	ctime	dtime	ttime	wait
Thu Jan 09 15:47:20 2025	1736434040	0	1522	1522	1505
Thu Jan 09 15:47:20 2025	1736434040	0	1528	1528	1510
Thu Jan 09 15:47:16 2025	1736434036	9	1524	1533	854
Thu Jan 09 15:47:17 2025	1736434037	0	1535	1535	1527
Thu Jan 09 15:47:24 2025	1736434044	0	1547	1547	1544
Thu Jan 09 15:47:17 2025	1736434037	0	1553	1553	1552
Thu Jan 09 15:47:20 2025	1736434040	0	1555	1555	1522
Thu Jan 09 15:47:19 2025	1736434039	1	1577	1578	1562
Thu Jan 09 15:47:16 2025	1736434036	9	1569	1578	1524
Thu Jan 09 15:47:16 2025	1736434036	9	1575	1585	1544
Thu Jan 09 15:47:23 2025	1736434043	0	1585	1585	1056
Thu Jan 09 15:47:21 2025	1736434041	0	1592	1592	1573
Thu Jan 09 15:47:20 2025	1736434040	0	1592	1592	1110
Thu Jan 09 15:47:17 2025	1736434037	0	1607	1607	1606
Thu Jan 09 15:47:20 2025	1736434040	0	1608	1608	1565
Thu Jan 09 15:47:17 2025	1736434037	0	1609	1610	1589
Thu Jan 09 15:47:17 2025	1736434037	0	1619	1619	1613
Thu Jan 09 15:47:21 2025	1736434041	0	1636	1636	1431
Thu Jan 09 15:47:17 2025	1736434037	0	1638	1639	1587
Thu Jan 09 15:47:17 2025	1736434037	1	1638	1639	1603
Thu Jan 09 15:47:19 2025	1736434039	0	1688	1688	1654
Thu Jan 09 15:47:19 2025	1736434039	0	1688	1688	703
Thu Jan 09 15:47:17 2025	1736434037	0	1702	1703	1699
Thu Jan 09 15:47:21 2025	1736434041	0	1732	1733	1718
Thu Jan 09 15:47:21 2025	1736434041	0	1732	1733	1712
Thu Jan 09 15:47:19 2025	1736434039	0	1734	1734	1720
Thu Jan 09 15:47:19 2025	1736434039	0	1741	1741	752
Thu Jan 09 15:47:20 2025	1736434040	1	1742	1742	1733
Thu Jan 09 15:47:16 2025	1736434036	8	1769	1777	1185
Thu Jan 09 15:47:18 2025	1736434038	0	1788	1789	1783
Thu Jan 09 15:47:19 2025	1736434039	0	1833	1833	1810
Thu Jan 09 15:47:19 2025	1736434039	0	1856	1856	1827
Thu Jan 09 15:47:21 2025	1736434041	0	1875	1875	1874
Thu Jan 09 15:47:17 2025	1736434037	0	1895	1895	1300
Thu Jan 09 15:47:21 2025	1736434041	0	1906	1906	1905
Thu Jan 09 15:47:21 2025	1736434041	0	1956	1956	1955
Thu Jan 09 15:47:18 2025	1736434038	0	1966	1966	1887
Thu Jan 09 15:47:19 2025	1736434039	0	1991	1991	638
Thu Jan 09 15:47:17 2025	1736434037	0	2011	2011	1961
Thu Jan 09 15:47:19 2025	1736434039	0	2043	2043	2026
Thu Jan 09 15:47:17 2025	1736434037	0	2069	2069	1990
Thu Jan 09 15:47:19 2025	1736434039	0	2090	2091	736
Thu Jan 09 15:47:19 2025	1736434039	0	2122	2122	1186
Thu Jan 09 15:47:19 2025	1736434039	0	2228	2228	2226
Thu Jan 09 15:47:16 2025	1736434036	9	2235	2244	1641
Thu Jan 09 15:47:20 2025	1736434040	0	2477	2477	2476
Thu Jan 09 15:47:20 2025	1736434040	0	2506	2506	2041
Thu Jan 09 15:47:19 2025	1736434039	0	2575	2575	2574
Thu Jan 09 15:47:19 2025	1736434039	0	2752	2752	2752
Thu Jan 09 15:47:20 2025	1736434040	0	3079	3079	2531
Thu Jan 09 15:47:19 2025	1736434039	0	3088	3089	3073
