starttime	seconds	ctime	dtime	ttime	wait
Thu Jan 09 15:45:09 2025	1736433909	0	267	267	226
Thu Jan 09 15:45:14 2025	1736433914	0	267	267	246
Thu Jan 09 15:45:07 2025	1736433907	0	268	268	256
Thu Jan 09 15:45:12 2025	1736433912	0	268	268	174
Thu Jan 09 15:45:14 2025	1736433914	0	268	269	227
Thu Jan 09 15:45:14 2025	1736433914	0	269	270	269
Thu Jan 09 15:45:08 2025	1736433908	0	269	270	241
Thu Jan 09 15:45:09 2025	1736433909	0	271	271	239
Thu Jan 09 15:45:03 2025	1736433903	51	220	271	217
Thu Jan 09 15:45:14 2025	1736433914	1	272	273	271
Thu Jan 09 15:45:12 2025	1736433912	0	273	273	251
Thu Jan 09 15:45:06 2025	1736433906	0	273	273	273
Thu Jan 09 15:45:07 2025	1736433907	0	274	274	172
Thu Jan 09 15:45:14 2025	1736433914	0	276	277	276
Thu Jan 09 15:45:12 2025	1736433912	0	277	277	227
Thu Jan 09 15:45:14 2025	1736433914	0	277	278	249
Thu Jan 09 15:45:04 2025	1736433904	0	278	278	252
Thu Jan 09 15:45:09 2025	1736433909	0	279	280	244
Thu Jan 09 15:45:14 2025	1736433914	0	280	280	279
Thu Jan 09 15:45:12 2025	1736433912	0	280	280	184
Thu Jan 09 15:45:09 2025	1736433909	0	282	282	239
Thu Jan 09 15:45:14 2025	1736433914	0	285	285	284
Thu Jan 09 15:45:09 2025	1736433909	0	286	286	260
Thu Jan 09 15:45:07 2025	1736433907	0	287	287	185
Thu Jan 09 15:45:12 2025	1736433912	0	287	287	286
Thu Jan 09 15:45:09 2025	1736433909	0	287	287	268
Thu Jan 09 15:45:12 2025	1736433912	0	287	287	286
Thu Jan 09 15:45:08 2025	1736433908	0	290	290	167
Thu Jan 09 15:45:09 2025	1736433909	0	290	290	218
Thu Jan 09 15:45:04 2025	1736433904	0	290	290	196
Thu Jan 09 15:45:08 2025	1736433908	0	291	291	221
Thu Jan 09 15:45:07 2025	1736433907	0	291	291	280
Thu Jan 09 15:45:07 2025	1736433907	0	292	292	278
Thu Jan 09 15:45:04 2025	1736433904	0	292	293	291
Thu Jan 09 15:45:08 2025	1736433908	1	293	294	292
Thu Jan 09 15:45:09 2025	1736433909	0	295	295	261
Thu Jan 09 15:45:07 2025	1736433907	0	295	296	282
Thu Jan 09 15:45:06 2025	1736433906	0	296	296	271
Thu Jan 09 15:45:08 2025	1736433908	0	297	298	222
Thu Jan 09 15:45:06 2025	1736433906	0	299	299	238
Thu Jan 09 15:45:07 2025	1736433907	0	301	301	226
Thu Jan 09 15:45:12 2025	1736433912	0	303	303	301
Thu Jan 09 15:45:05 2025	1736433905	0	304	304	277
Thu Jan 09 15:45:08 2025	1736433908	0	304	304	227
Thu Jan 09 15:45:07 2025	1736433907	0	305	305	160
Thu Jan 09 15:45:08 2025	1736433908	0	305	305	304
Thu Jan 09 15:45:06 2025	1736433906	0	305	305	291
Thu Jan 09 15:45:11 2025	1736433911	0	306	306	299
Thu Jan 09 15:45:14 2025	1736433914	0	306	306	291
Thu Jan 09 15:45:08 2025	1736433908	0	306	306	251
Thu Jan 09 15:45:12 2025	1736433912	0	308	308	97
Thu Jan 09 15:45:08 2025	1736433908	1	308	309	308
Thu Jan 09 15:45:08 2025	1736433908	0	312	313	277
Thu Jan 09 15:45:08 2025	1736433908	0	313	313	270
Thu Jan 09 15:45:04 2025	1736433904	0	314	314	301
Thu Jan 09 15:45:09 2025	1736433909	0	314	315	313
Thu Jan 09 15:45:08 2025	1736433908	0	315	315	257
Thu Jan 09 15:45:08 2025	1736433908	0	316	317	316
Thu Jan 09 15:45:03 2025	1736433903	4	315	318	309
Thu Jan 09 15:45:04 2025	1736433904	0	322	322	309
Thu Jan 09 15:45:03 2025	1736433903	8	315	322	314
Thu Jan 09 15:45:14 2025	1736433914	0	323	323	322
Thu Jan 09 15:45:09 2025	1736433909	0	323	324	298
Thu Jan 09 15:45:08 2025	1736433908	0	323	324	246
Thu Jan 09 15:45:13 2025	1736433913	1	323	324	301
Thu Jan 09 15:45:04 2025	1736433904	0	325	325	286
Thu Jan 09 15:45:12 2025	1736433912	0	325	325	315
Thu Jan 09 15:45:09 2025	1736433909	0	325	326	325
Thu Jan 09 15:45:12 2025	1736433912	0	325	326	317
Thu Jan 09 15:45:08 2025	1736433908	0	326	326	325
Thu Jan 09 15:45:04 2025	1736433904	0	327	327	326
Thu Jan 09 15:45:12 2025	1736433912	0	327	328	320
Thu Jan 09 15:45:06 2025	1736433906	0	328	328	283
Thu Jan 09 15:45:06 2025	1736433906	0	328	328	292
Thu Jan 09 15:45:13 2025	1736433913	0	328	329	328
Thu Jan 09 15:45:14 2025	1736433914	0	330	331	329
Thu Jan 09 15:45:08 2025	1736433908	0	333	333	332
Thu Jan 09 15:45:04 2025	1736433904	0	334	334	334
Thu Jan 09 15:45:12 2025	1736433912	0	334	334	333
Thu Jan 09 15:45:08 2025	1736433908	0	336	336	279
Thu Jan 09 15:45:09 2025	1736433909	0	337	337	336
Thu Jan 09 15:45:07 2025	1736433907	0	337	338	175
Thu Jan 09 15:45:12 2025	1736433912	0	338	338	322
Thu Jan 09 15:45:12 2025	1736433912	0	338	338	337
Thu Jan 09 15:45:12 2025	1736433912	0	340	340	303
Thu Jan 09 15:45:04 2025	1736433904	0	342	342	327
Thu Jan 09 15:45:03 2025	1736433903	5	338	343	334
Thu Jan 09 15:45:04 2025	1736433904	0	344	344	227
Thu Jan 09 15:45:14 2025	1736433914	0	345	345	343
Thu Jan 09 15:45:04 2025	1736433904	0	345	345	344
Thu Jan 09 15:45:09 2025	1736433909	0	346	346	216
Thu Jan 09 15:45:14 2025	1736433914	0	346	346	152
Thu Jan 09 15:45:08 2025	1736433908	0	347	347	345
Thu Jan 09 15:45:07 2025	1736433907	0	347	347	259
Thu Jan 09 15:45:11 2025	1736433911	0	347	347	311
Thu Jan 09 15:45:11 2025	1736433911	0	347	348	318
Thu Jan 09 15:45:04 2025	1736433904	0	350	350	348
Thu Jan 09 15:45:08 2025	1736433908	0	350	350	318
Thu Jan 09 15:45:06 2025	1736433906	0	351	352	214
Thu Jan 09 15:45:07 2025	1736433907	0	352	352	335
Thu Jan 09 15:45:14 2025	1736433914	0	352	353	118
Thu Jan 09 15:45:08 2025	1736433908	0	354	354	258
Thu Jan 09 15:45:13 2025	1736433913	0	355	355	316
Thu Jan 09 15:45:14 2025	1736433914	0	355	356	354
Thu Jan 09 15:45:13 2025	1736433913	0	355	356	317
Thu Jan 09 15:45:07 2025	1736433907	0	356	356	263
Thu Jan 09 15:45:14 2025	1736433914	0	356	356	339
Thu Jan 09 15:45:09 2025	1736433909	0	358	358	223
Thu Jan 09 15:45:06 2025	1736433906	0	358	358	336
Thu Jan 09 15:45:14 2025	1736433914	0	361	361	360
Thu Jan 09 15:45:08 2025	1736433908	0	362	362	357
Thu Jan 09 15:45:06 2025	1736433906	0	363	364	338
Thu Jan 09 15:45:12 2025	1736433912	0	365	365	362
Thu Jan 09 15:45:08 2025	1736433908	0	366	366	281
Thu Jan 09 15:45:12 2025	1736433912	0	366	366	362
Thu Jan 09 15:45:06 2025	1736433906	0	367	367	80
Thu Jan 09 15:45:05 2025	1736433905	0	368	368	358
Thu Jan 09 15:45:03 2025	1736433903	65	304	369	290
Thu Jan 09 15:45:08 2025	1736433908	0	370	371	328
Thu Jan 09 15:45:03 2025	1736433903	6	365	371	357
Thu Jan 09 15:45:12 2025	1736433912	0	370	371	366
Thu Jan 09 15:45:03 2025	1736433903	50	321	371	320
Thu Jan 09 15:45:06 2025	1736433906	0	371	371	363
Thu Jan 09 15:45:06 2025	1736433906	0	372	372	317
Thu Jan 09 15:45:14 2025	1736433914	0	373	373	369
Thu Jan 09 15:45:13 2025	1736433913	0	375	375	337
Thu Jan 09 15:45:12 2025	1736433912	0	378	378	375
Thu Jan 09 15:45:08 2025	1736433908	0	378	378	378
Thu Jan 09 15:45:08 2025	1736433908	0	378	379	304
Thu Jan 09 15:45:08 2025	1736433908	0	379	379	358
Thu Jan 09 15:45:05 2025	1736433905	0	379	379	364
Thu Jan 09 15:45:13 2025	1736433913	1	379	380	348
Thu Jan 09 15:45:06 2025	1736433906	0	382	382	359
Thu Jan 09 15:45:04 2025	1736433904	0	382	383	372
Thu Jan 09 15:45:12 2025	1736433912	0	383	383	372
Thu Jan 09 15:45:08 2025	1736433908	0	384	384	375
Thu Jan 09 15:45:08 2025	1736433908	0	385	386	379
Thu Jan 09 15:45:03 2025	1736433903	40	347	387	343
Thu Jan 09 15:45:14 2025	1736433914	0	387	387	386
Thu Jan 09 15:45:13 2025	1736433913	0	388	389	359
Thu Jan 09 15:45:07 2025	1736433907	0	389	389	332
Thu Jan 09 15:45:04 2025	1736433904	1	389	389	345
Thu Jan 09 15:45:08 2025	1736433908	0	390	390	294
Thu Jan 09 15:45:08 2025	1736433908	0	391	391	326
Thu Jan 09 15:45:04 2025	1736433904	0	391	392	346
Thu Jan 09 15:45:06 2025	1736433906	0	392	392	81
Thu Jan 09 15:45:04 2025	1736433904	0	393	393	307
Thu Jan 09 15:45:06 2025	1736433906	0	397	397	364
Thu Jan 09 15:45:09 2025	1736433909	1	397	398	396
Thu Jan 09 15:45:05 2025	1736433905	0	398	398	395
Thu Jan 09 15:45:05 2025	1736433905	0	398	399	397
Thu Jan 09 15:45:07 2025	1736433907	0	400	400	379
Thu Jan 09 15:45:13 2025	1736433913	0	400	400	328
Thu Jan 09 15:45:09 2025	1736433909	0	401	401	377
Thu Jan 09 15:45:06 2025	1736433906	0	401	402	104
Thu Jan 09 15:45:06 2025	1736433906	0	401	402	400
Thu Jan 09 15:45:03 2025	1736433903	50	352	402	346
Thu Jan 09 15:45:13 2025	1736433913	1	402	402	393
Thu Jan 09 15:45:06 2025	1736433906	0	402	403	349
Thu Jan 09 15:45:05 2025	1736433905	0	403	403	402
Thu Jan 09 15:45:05 2025	1736433905	0	403	404	120
Thu Jan 09 15:45:06 2025	1736433906	0	403	404	101
Thu Jan 09 15:45:03 2025	1736433903	66	339	405	327
Thu Jan 09 15:45:08 2025	1736433908	0	405	405	389
Thu Jan 09 15:45:04 2025	1736433904	0	406	407	406
Thu Jan 09 15:45:04 2025	1736433904	0	408	409	404
Thu Jan 09 15:45:14 2025	1736433914	0	408	409	408
Thu Jan 09 15:45:09 2025	1736433909	0	410	410	383
Thu Jan 09 15:45:06 2025	1736433906	0	411	411	382
Thu Jan 09 15:45:13 2025	1736433913	0	414	415	381
Thu Jan 09 15:45:13 2025	1736433913	0	415	415	383
Thu Jan 09 15:45:12 2025	1736433912	0	415	416	414
Thu Jan 09 15:45:14 2025	1736433914	0	416	417	414
Thu Jan 09 15:45:14 2025	1736433914	0	417	417	55
Thu Jan 09 15:45:12 2025	1736433912	0	417	417	414
Thu Jan 09 15:45:14 2025	1736433914	0	418	418	417
Thu Jan 09 15:45:07 2025	1736433907	0	418	419	407
Thu Jan 09 15:45:05 2025	1736433905	0	419	419	417
Thu Jan 09 15:45:13 2025	1736433913	0	419	419	401
Thu Jan 09 15:45:05 2025	1736433905	0	419	419	416
Thu Jan 09 15:45:06 2025	1736433906	0	420	420	407
Thu Jan 09 15:45:14 2025	1736433914	0	421	421	411
Thu Jan 09 15:45:05 2025	1736433905	0	421	421	420
Thu Jan 09 15:45:14 2025	1736433914	0	422	422	407
Thu Jan 09 15:45:12 2025	1736433912	0	422	423	422
Thu Jan 09 15:45:04 2025	1736433904	0	423	423	400
Thu Jan 09 15:45:13 2025	1736433913	0	423	423	371
Thu Jan 09 15:45:04 2025	1736433904	0	424	424	406
Thu Jan 09 15:45:04 2025	1736433904	0	424	424	401
Thu Jan 09 15:45:06 2025	1736433906	0	424	424	360
Thu Jan 09 15:45:03 2025	1736433903	65	360	424	359
Thu Jan 09 15:45:09 2025	1736433909	0	425	426	403
Thu Jan 09 15:45:04 2025	1736433904	0	426	426	345
Thu Jan 09 15:45:13 2025	1736433913	0	426	427	426
Thu Jan 09 15:45:13 2025	1736433913	0	427	428	387
Thu Jan 09 15:45:03 2025	1736433903	3	425	428	413
Thu Jan 09 15:45:08 2025	1736433908	0	428	428	373
Thu Jan 09 15:45:13 2025	1736433913	0	429	429	398
Thu Jan 09 15:45:06 2025	1736433906	0	429	429	420
Thu Jan 09 15:45:13 2025	1736433913	0	430	430	160
Thu Jan 09 15:45:09 2025	1736433909	0	432	432	431
Thu Jan 09 15:45:13 2025	1736433913	0	431	432	397
Thu Jan 09 15:45:08 2025	1736433908	0	432	432	321
Thu Jan 09 15:45:13 2025	1736433913	1	432	433	397
Thu Jan 09 15:45:04 2025	1736433904	0	433	433	409
Thu Jan 09 15:45:14 2025	1736433914	0	433	434	75
Thu Jan 09 15:45:08 2025	1736433908	1	435	436	313
Thu Jan 09 15:45:08 2025	1736433908	0	437	437	411
Thu Jan 09 15:45:08 2025	1736433908	0	437	438	378
Thu Jan 09 15:45:08 2025	1736433908	1	437	438	344
Thu Jan 09 15:45:05 2025	1736433905	0	440	440	429
Thu Jan 09 15:45:08 2025	1736433908	0	440	440	368
Thu Jan 09 15:45:08 2025	1736433908	0	440	440	399
Thu Jan 09 15:45:05 2025	1736433905	0	440	441	439
Thu Jan 09 15:45:06 2025	1736433906	0	441	441	408
Thu Jan 09 15:45:12 2025	1736433912	0	441	441	441
Thu Jan 09 15:45:13 2025	1736433913	0	442	442	410
Thu Jan 09 15:45:08 2025	1736433908	0	442	442	417
Thu Jan 09 15:45:08 2025	1736433908	0	443	443	442
Thu Jan 09 15:45:14 2025	1736433914	0	443	443	442
Thu Jan 09 15:45:08 2025	1736433908	0	444	444	404
Thu Jan 09 15:45:14 2025	1736433914	0	445	445	443
Thu Jan 09 15:45:06 2025	1736433906	0	445	445	424
Thu Jan 09 15:45:08 2025	1736433908	0	446	446	403
Thu Jan 09 15:45:13 2025	1736433913	0	446	447	428
Thu Jan 09 15:45:05 2025	1736433905	0	447	447	430
Thu Jan 09 15:45:06 2025	1736433906	0	447	448	444
Thu Jan 09 15:45:05 2025	1736433905	0	448	448	440
Thu Jan 09 15:45:06 2025	1736433906	0	448	448	304
Thu Jan 09 15:45:14 2025	1736433914	0	448	449	89
Thu Jan 09 15:45:14 2025	1736433914	0	449	449	448
Thu Jan 09 15:45:14 2025	1736433914	1	449	450	421
Thu Jan 09 15:45:08 2025	1736433908	0	450	450	373
Thu Jan 09 15:45:08 2025	1736433908	0	450	451	397
Thu Jan 09 15:45:06 2025	1736433906	0	452	452	451
Thu Jan 09 15:45:04 2025	1736433904	0	454	454	453
Thu Jan 09 15:45:14 2025	1736433914	0	455	455	453
Thu Jan 09 15:45:06 2025	1736433906	0	455	456	454
Thu Jan 09 15:45:11 2025	1736433911	0	455	456	455
Thu Jan 09 15:45:05 2025	1736433905	0	456	456	430
Thu Jan 09 15:45:13 2025	1736433913	0	457	457	160
Thu Jan 09 15:45:13 2025	1736433913	0	457	457	457
Thu Jan 09 15:45:14 2025	1736433914	0	457	457	454
Thu Jan 09 15:45:06 2025	1736433906	0	458	458	457
Thu Jan 09 15:45:14 2025	1736433914	1	460	460	459
Thu Jan 09 15:45:14 2025	1736433914	0	462	462	461
Thu Jan 09 15:45:06 2025	1736433906	1	462	462	349
Thu Jan 09 15:45:13 2025	1736433913	0	462	462	434
Thu Jan 09 15:45:14 2025	1736433914	0	463	463	81
Thu Jan 09 15:45:14 2025	1736433914	0	464	464	463
Thu Jan 09 15:45:13 2025	1736433913	0	465	465	424
Thu Jan 09 15:45:14 2025	1736433914	0	469	469	468
Thu Jan 09 15:45:14 2025	1736433914	0	470	470	461
Thu Jan 09 15:45:06 2025	1736433906	0	470	470	469
Thu Jan 09 15:45:14 2025	1736433914	0	470	470	469
Thu Jan 09 15:45:05 2025	1736433905	0	471	471	66
Thu Jan 09 15:45:14 2025	1736433914	0	474	475	463
Thu Jan 09 15:45:14 2025	1736433914	0	475	475	472
Thu Jan 09 15:45:14 2025	1736433914	0	475	475	474
Thu Jan 09 15:45:03 2025	1736433903	1	475	475	474
Thu Jan 09 15:45:04 2025	1736433904	0	476	476	469
Thu Jan 09 15:45:09 2025	1736433909	0	479	479	468
Thu Jan 09 15:45:12 2025	1736433912	0	480	480	477
Thu Jan 09 15:45:06 2025	1736433906	0	480	480	477
Thu Jan 09 15:45:05 2025	1736433905	0	481	481	457
Thu Jan 09 15:45:06 2025	1736433906	0	482	482	421
