starttime	seconds	ctime	dtime	ttime	wait
Thu Jan 09 15:45:08 2025	1736433908	0	544	544	507
Thu Jan 09 15:45:05 2025	1736433905	0	545	545	532
Thu Jan 09 15:45:13 2025	1736433913	0	545	545	478
Thu Jan 09 15:45:08 2025	1736433908	0	545	546	531
Thu Jan 09 15:45:05 2025	1736433905	0	546	547	536
Thu Jan 09 15:45:11 2025	1736433911	0	547	547	544
Thu Jan 09 15:45:04 2025	1736433904	0	547	547	541
Thu Jan 09 15:45:14 2025	1736433914	0	547	547	529
Thu Jan 09 15:45:07 2025	1736433907	0	547	547	547
Thu Jan 09 15:45:13 2025	1736433913	0	548	548	516
Thu Jan 09 15:45:07 2025	1736433907	0	549	550	255
Thu Jan 09 15:45:13 2025	1736433913	0	551	551	505
Thu Jan 09 15:45:05 2025	1736433905	0	551	551	543
Thu Jan 09 15:45:11 2025	1736433911	0	555	555	216
Thu Jan 09 15:45:08 2025	1736433908	0	555	556	513
Thu Jan 09 15:45:11 2025	1736433911	0	556	556	456
Thu Jan 09 15:45:04 2025	1736433904	0	556	556	533
Thu Jan 09 15:45:09 2025	1736433909	0	556	557	556
Thu Jan 09 15:45:12 2025	1736433912	0	560	560	79
Thu Jan 09 15:45:08 2025	1736433908	1	561	561	559
Thu Jan 09 15:45:12 2025	1736433912	0	562	563	561
Thu Jan 09 15:45:08 2025	1736433908	0	565	565	523
Thu Jan 09 15:45:08 2025	1736433908	0	566	566	511
Thu Jan 09 15:45:10 2025	1736433910	0	566	566	557
Thu Jan 09 15:45:05 2025	1736433905	0	566	567	102
Thu Jan 09 15:45:12 2025	1736433912	0	568	569	567
Thu Jan 09 15:45:14 2025	1736433914	1	568	569	564
Thu Jan 09 15:45:08 2025	1736433908	0	570	570	526
Thu Jan 09 15:45:04 2025	1736433904	0	570	570	523
Thu Jan 09 15:45:14 2025	1736433914	1	570	571	564
Thu Jan 09 15:45:09 2025	1736433909	0	571	572	520
Thu Jan 09 15:45:04 2025	1736433904	0	572	572	564
Thu Jan 09 15:45:09 2025	1736433909	0	573	573	540
Thu Jan 09 15:45:08 2025	1736433908	0	574	574	531
Thu Jan 09 15:45:11 2025	1736433911	0	574	575	573
Thu Jan 09 15:45:03 2025	1736433903	6	569	575	568
Thu Jan 09 15:45:04 2025	1736433904	0	575	575	567
Thu Jan 09 15:45:05 2025	1736433905	0	576	576	107
Thu Jan 09 15:45:05 2025	1736433905	0	576	576	566
Thu Jan 09 15:45:06 2025	1736433906	0	577	577	552
Thu Jan 09 15:45:14 2025	1736433914	0	577	578	576
Thu Jan 09 15:45:14 2025	1736433914	2	576	578	576
Thu Jan 09 15:45:14 2025	1736433914	0	578	579	577
Thu Jan 09 15:45:07 2025	1736433907	0	580	580	457
Thu Jan 09 15:45:10 2025	1736433910	0	581	581	580
Thu Jan 09 15:45:03 2025	1736433903	4	578	581	563
Thu Jan 09 15:45:08 2025	1736433908	0	581	581	568
Thu Jan 09 15:45:14 2025	1736433914	0	581	582	168
Thu Jan 09 15:45:08 2025	1736433908	0	582	582	581
